,Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrival/Dispersal Date,Overall Sink Percentage,Escort Sink Percentage,Straggler Sink Percentage
739,HX.212,73.0,19.0,2.0,6.0,0.0,2.0,364442.0,51997.0,1942-10-18,1942-11-02,8.21917808219178,0.0,100.0
106,SC.107,67.0,22.0,0.0,15.0,0.0,0.0,218144.0,82820.0,1942-10-24,1942-11-10,22.388059701492500,0.0,0.0
108,SC.109,69.0,21.0,0.0,1.0,0.0,0.0,216296.0,9132.0,1942-11-09,1942-11-30,1.4492753623188400,0.0,0.0
109,SC.110,64.0,20.0,0.0,1.0,0.0,0.0,208921.0,5170.0,1942-11-17,1942-12-06,1.5625,0.0,0.0
743,HX.216,71.0,17.0,2.0,1.0,0.0,1.0,394564.0,7178.0,1942-11-19,1942-12-06,1.4084507042253500,0.0,50.0
744,HX.217,57.0,18.0,1.0,3.0,0.0,1.0,292620.0,20229.0,1942-11-27,1942-12-14,5.263157894736840,0.0,100.0
114,SC.115,50.0,16.0,1.0,1.0,0.0,1.0,182316.0,7174.0,1942-12-27,1943-01-15,2.0,0.0,100.0
749,HX.222,54.0,19.0,0.0,1.0,0.0,0.0,242284.0,14547.0,1943-01-06,1943-01-22,1.8518518518518500,0.0,0.0
116,SC.117,65.0,20.0,2.0,2.0,0.0,2.0,238583.0,8668.0,1943-01-12,1943-02-03,3.076923076923080,0.0,100.0
750,HX.223,77.0,20.0,0.0,2.0,0.0,0.0,437169.0,16480.0,1943-01-14,1943-02-02,2.5974025974026000,0.0,0.0
751,HX.224,82.0,18.0,1.0,3.0,0.0,0.0,429790.0,24823.0,1943-01-22,1943-02-05,3.6585365853658500,0.0,0.0
117,SC.118,86.0,25.0,0.0,11.0,0.0,0.0,324736.0,59765.0,1943-01-24,1943-02-12,12.790697674418600,0.0,0.0
754,HX.227,89.0,18.0,2.0,2.0,0.0,2.0,542153.0,14352.0,1943-02-18,1943-03-06,2.247191011235960,0.0,100.0
120,SC.121,92.0,23.0,5.0,12.0,0.0,5.0,355212.0,55661.0,1943-02-23,1943-03-14,13.043478260869600,0.0,100.0
755,HX.228,108.0,21.0,1.0,5.0,1.0,0.0,564786.0,25515.0,1943-02-28,1943-03-15,4.62962962962963,4.761904761904760,0.0
121,SC.122,83.0,18.0,1.0,9.0,0.0,1.0,300323.0,53094.0,1943-03-05,1943-03-24,10.843373493975900,0.0,100.0
756,HX.229,57.0,17.0,0.0,13.0,0.0,0.0,281561.0,93502.0,1943-03-08,1943-03-23,22.807017543859600,0.0,0.0
758,HX.230,67.0,21.0,1.0,1.0,0.0,1.0,332344.0,7176.0,1943-03-18,1943-04-02,1.4925373134328400,0.0,100.0
759,HX.231,86.0,19.0,0.0,6.0,1.0,0.0,490311.0,41494.0,1943-03-25,1943-04-10,6.976744186046510,5.263157894736840,0.0
760,HX.232,68.0,17.0,1.0,4.0,0.0,1.0,350646.0,24221.0,1943-04-01,1943-04-16,5.88235294117647,0.0,100.0
761,HX.233,79.0,21.0,0.0,1.0,0.0,0.0,407134.0,7134.0,1943-04-06,1943-04-21,1.2658227848101300,0.0,0.0
762,HX.234,67.0,21.0,1.0,2.0,0.0,1.0,344893.0,17394.0,1943-04-12,1943-04-29,2.9850746268656700,0.0,100.0
